huc_name,whp,acres_burnable,population_in_huc,Latitude,Longitude
Park Creek-Stehekin River,389.46698,7368,33,48.45418833,-120.9279262
Stemilt Creek,2951.971191,19347,972,47.2954663,-120.3190188
North Fork Cascade River,281.2573547,9800,122,48.49488525,-121.1187247
Rainy Creek,2160.510254,10484,121,47.81775996,-121.0131245
Three Creek-Entiat River,4801.721191,20752,74,48.01520393,-120.6519972
High Creek-Naneum Creek,2280.290772,21058,276,47.20723381,-120.4471577
Miners Creek-Suiattle River,541.6495361,24517,222,48.19527586,-121.0286689
First Creek-Lake Chelan,1216.512573,15114,1282,47.88154964,-120.2438808
Upper Peshastin Creek,8523.791016,36352,1319,47.39138187,-120.650814
Brender Creek-Mission Creek,2615.331543,22283,2561,47.46816558,-120.5009616
Indian Creek,374.685791,11925,145,47.97981944,-121.0426369
Swakane Creek,678.5275879,11097,1419,47.58943118,-120.374916
Big Creek-Lake Chelan,423.6368103,11061,115,48.02290563,-120.4257176
Derby Canyon-Wenatchee River,1509.954834,16357,555,47.60269404,-120.5919155
West Fork Agnes Creek,270.6052246,9673,54,48.33749016,-120.9939232
Roaring Creek,889.8875122,14249,75,47.66208037,-120.4051009
Upper North Fork Skykomish River,317.5132141,32047,472,47.92612971,-121.2472876
Fisher Creek,166.882782,12141,157,48.56389027,-120.9301923
Lower Little Wenatchee River,5800.680176,11493,138,47.83780628,-120.9047912
Preston Creek-Entiat River,1291.738159,15276,60,47.89144155,-120.4228839
Buttermilk Creek,1994.831787,20662,234,48.2894555,-120.3493045
French Creek,1055.236572,13096,176,47.5889767,-121.0339729
Upper Bridge Creek,386.1789246,15204,64,48.47786573,-120.6946163
Lake Chelan-Chelan River,488.4526978,31993,3255,47.87473518,-120.0666735
Upper Railroad Creek,941.7094727,15438,81,48.20089373,-120.830119
Ingalls Creek,4263.256836,18086,803,47.4495278,-120.8176524
Whitepine Creek,1658.956665,14123,174,47.72098064,-120.9706831
Junction Creek-Stehekin River,912.4553833,7872,29,48.40643456,-120.8598178
Number Two Canyon-Columbia River,714.4525146,21058,51226,47.41863776,-120.3310573
Knapp Coulee-Columbia River,215.429718,29219,873,47.77923879,-120.0565432
Gold Creek,1552.821167,35866,385,48.19002664,-120.2572205
Upper Twisp River,932.0644531,15654,53,48.41423373,-120.5151997
Rapid River,430.2362061,25778,367,47.82222823,-121.1831076
Long Draw-Columbia River,471.2206726,34695,1278,47.8846683,-119.9151592
Eightmile Creek,1061.805176,13132,220,47.51488603,-120.8525219
Squaw Creek,2033.427734,9349,101,48.08851519,-120.0942642
Big Meadow Creek,8353.4375,9547,113,47.87462777,-120.7667408
Headwaters Stehekin River,188.072403,7962,41,48.45759009,-120.9968018
Lake Creek,893.3026733,10178,118,47.85933643,-121.0962855
Mitchell Creek-Lake Chelan,858.5253906,29831,644,48.03192202,-120.2044935
Cabin Creek-Stehekin River,1438.795166,19347,76,48.35311279,-120.7717655
Devils Gulch-Mission Creek,1701.024536,9529,360,47.34657055,-120.502483
Bear Creek-Lake Chelan,1091.820557,26607,119,48.17614799,-120.57147
